local_hour,timestamp_utc,timestamp,ghi_wm2,dni_wm2,dhi_wm2,temp_air_c,controller_type,hour,pv_power_kw,home_load_kw,ev_charge_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,battery_soh,battery_capacity_loss_percent,battery_throughput_kwh,grid_import_kw,grid_export_kw,import_cost_rs,export_revenue_rs,energy_net_cost_rs,degradation_cost_rs,net_cost_rs
5,1990-01-01 00:00:00+00:00,1990-01-01 05:30:00+05:30,0.0,0.0,0.0,16.44,no_battery,0,0.0,0.6,7.2,7.8,0.0,0.0,0.0,1.0,0.0,0.0,7.8,0.0,62.4,0.0,62.4,0.0,62.4
6,1990-01-01 01:00:00+00:00,1990-01-01 06:30:00+05:30,0.0,0.0,0.0,16.7,no_battery,1,0.0,0.6,7.2,7.8,0.0,0.0,0.0,1.0,0.0,0.0,7.8,0.0,62.4,0.0,62.4,0.0,62.4
7,1990-01-01 02:00:00+00:00,1990-01-01 07:30:00+05:30,35.8,0.0,35.8,16.95,no_battery,2,0.14761430504479583,0.6,3.6000000000000005,4.2,0.0,0.0,0.0,1.0,0.0,0.0,4.052385694955205,0.0,32.41908555964164,0.0,32.41908555964164,0.0,32.41908555964164
8,1990-01-01 03:00:00+00:00,1990-01-01 08:30:00+05:30,292.9,959.53,74.05,17.2,no_battery,3,2.0066865620001346,0.6,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4066865620001345,0.0,4.220059686000404,-4.220059686000404,0.0,-4.220059686000404
9,1990-01-01 04:00:00+00:00,1990-01-01 09:30:00+05:30,485.85,954.97,93.45,17.46,no_battery,4,2.889581578643302,0.6,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.289581578643302,0.0,6.868744735929905,-6.868744735929905,0.0,-6.868744735929905
10,1990-01-01 05:00:00+00:00,1990-01-01 10:30:00+05:30,633.3,951.83,104.75,17.71,no_battery,5,3.5673106515752067,0.6,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.9673106515752066,0.0,8.901931954725619,-8.901931954725619,0.0,-8.901931954725619
11,1990-01-01 06:00:00+00:00,1990-01-01 11:30:00+05:30,716.95,930.72,110.65,17.97,no_battery,6,3.938543644965459,1.5,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.438543644965459,0.0,7.315630934896377,-7.315630934896377,0.0,-7.315630934896377
12,1990-01-01 07:00:00+00:00,1990-01-01 12:30:00+05:30,731.1,894.56,111.4,18.22,no_battery,7,3.9784891106834666,1.5,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4784891106834666,0.0,7.4354673320504,-7.4354673320504,0.0,-7.4354673320504
13,1990-01-01 08:00:00+00:00,1990-01-01 13:30:00+05:30,673.4,836.82,107.35,25.55,no_battery,8,3.6712544050474407,1.5,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1712544050474407,0.0,6.513763215142323,-6.513763215142323,0.0,-6.513763215142323
14,1990-01-01 09:00:00+00:00,1990-01-01 14:30:00+05:30,549.6,748.03,98.1,26.2,no_battery,9,3.0371349543978026,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0371349543978026,0.0,6.111404863193408,-6.111404863193408,0.0,-6.111404863193408
15,1990-01-01 10:00:00+00:00,1990-01-01 15:30:00+05:30,372.6,605.18,82.6,26.29,no_battery,10,2.120321195944749,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.120321195944749,0.0,3.360963587834247,-3.360963587834247,0.0,-3.360963587834247
16,1990-01-01 11:00:00+00:00,1990-01-01 16:30:00+05:30,168.4,363.3,55.15,25.88,no_battery,11,1.0129713492087786,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.012971349208778626,0.0,0.03891404762633588,-0.03891404762633588,0.0,-0.03891404762633588
17,1990-01-01 12:00:00+00:00,1990-01-01 17:30:00+05:30,15.85,60.4,9.05,24.54,no_battery,12,0.11223467975932198,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.887765320240678,0.0,7.102122561925424,0.0,7.102122561925424,0.0,7.102122561925424
18,1990-01-01 13:00:00+00:00,1990-01-01 18:30:00+05:30,0.0,0.0,0.0,22.11,no_battery,13,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,8.0
19,1990-01-01 14:00:00+00:00,1990-01-01 19:30:00+05:30,0.0,0.0,0.0,20.4,no_battery,14,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,8.0
20,1990-01-01 15:00:00+00:00,1990-01-01 20:30:00+05:30,0.0,0.0,0.0,19.28,no_battery,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,8.0
21,1990-01-01 16:00:00+00:00,1990-01-01 21:30:00+05:30,0.0,0.0,0.0,18.37,no_battery,16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,8.0
22,1990-01-01 17:00:00+00:00,1990-01-01 22:30:00+05:30,0.0,0.0,0.0,17.49,no_battery,17,0.0,2.4,0.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0,2.4,0.0,19.2,0.0,19.2,0.0,19.2
