pv_size_kw,battery_size_kwh,battery_power_limit_kw,annual_grid_import_kwh,annual_grid_export_kwh,annual_energy_cost_rs,annual_degradation_cost_rs,annual_net_cost_rs,annual_battery_throughput_kwh,final_soh_percent,estimated_usable_capacity_kwh
3,5.0,2.5,12286.50618186299,77.43920225875061,98059.73184812766,5439.153274039899,103498.88512216759,3626.1021826932656,99.85678568166489,4.992839284083244
3,7.5,3.75,12286.50618186299,77.43920225875061,98059.73184812766,5439.153274039899,103498.88512216759,3626.1021826932656,99.85678568166489,7.489258926124866
3,10.0,5.0,12286.50618186299,77.43920225875061,98059.73184812766,5439.153274039899,103498.88512216759,3626.1021826932656,99.85678568166489,9.985678568166488
3,12.5,6.25,12286.50618186299,77.43920225875061,98059.73184812766,5439.153274039899,103498.88512216759,3626.1021826932656,99.85678568166489,12.482098210208111
3,15.0,7.5,12286.50618186299,77.43920225875061,98059.73184812766,5439.153274039899,103498.88512216759,3626.1021826932656,99.85678568166489,14.978517852249732
4,5.0,2.5,11664.618708304466,1201.2405380686928,89713.22805222966,6727.665270982483,96440.89332321213,4485.110180654987,99.82854432282778,4.991427216141389
4,7.5,3.75,11664.618708304466,1201.2405380686928,89713.22805222966,6727.665270982483,96440.89332321213,4485.110180654987,99.82854432282778,7.487140824212084
4,10.0,5.0,11664.618708304466,1201.2405380686928,89713.22805222966,6727.665270982483,96440.89332321213,4485.110180654987,99.82854432282778,9.982854432282778
4,12.5,6.25,11664.618708304466,1201.2405380686928,89713.22805222966,6727.665270982483,96440.89332321213,4485.110180654987,99.82854432282778,12.478568040353473
4,15.0,7.5,11664.618708304466,1201.2405380686928,89713.22805222966,6727.665270982483,96440.89332321213,4485.110180654987,99.82854432282778,14.974281648424167
5,5.0,2.5,11322.600195737363,2628.8891006891504,82694.13426383147,7314.352035161072,90008.48629899253,4876.234690107382,99.81568543484578,4.990784271742289
5,7.5,3.75,11322.600195737363,2628.8891006891504,82694.13426383147,7314.352035161072,90008.48629899253,4876.234690107382,99.81568543484578,7.486176407613433
5,10.0,5.0,11322.600195737363,2628.8891006891504,82694.13426383147,7314.352035161072,90008.48629899253,4876.234690107382,99.81568543484578,9.981568543484578
5,12.5,6.25,11322.600195737363,2628.8891006891504,82694.13426383147,7314.352035161072,90008.48629899253,4876.234690107382,99.81568543484578,12.476960679355722
5,15.0,7.5,11322.600195737363,2628.8891006891504,82694.13426383147,7314.352035161072,90008.48629899253,4876.234690107382,99.81568543484578,14.972352815226866
6,5.0,2.5,11141.16767287168,4232.060489870164,76433.1599133629,7463.849071805776,83897.00898516868,4975.89938120385,99.81240878746726,4.990620439373363
6,7.5,3.75,11141.16767287168,4232.060489870164,76433.1599133629,7463.849071805776,83897.00898516868,4975.89938120385,99.81240878746726,7.485930659060045
6,10.0,5.0,11141.16767287168,4232.060489870164,76433.1599133629,7463.849071805776,83897.00898516868,4975.89938120385,99.81240878746726,9.981240878746727
6,12.5,6.25,11141.16767287168,4232.060489870164,76433.1599133629,7463.849071805776,83897.00898516868,4975.89938120385,99.81240878746726,12.476551098433408
6,15.0,7.5,11141.16767287168,4232.060489870164,76433.1599133629,7463.849071805776,83897.00898516868,4975.89938120385,99.81240878746726,14.97186131812009
7,5.0,2.5,10975.058228673883,5850.416852688548,70249.21527132543,7617.3883587255095,77866.60363005094,5078.258905817007,99.80904354282245,4.9904521771411225
7,7.5,3.75,10975.058228673883,5850.416852688548,70249.21527132543,7617.3883587255095,77866.60363005094,5078.258905817007,99.80904354282245,7.485678265711684
7,10.0,5.0,10975.058228673883,5850.416852688548,70249.21527132543,7617.3883587255095,77866.60363005094,5078.258905817007,99.80904354282245,9.980904354282245
7,12.5,6.25,10975.058228673883,5850.416852688548,70249.21527132543,7617.3883587255095,77866.60363005094,5078.258905817007,99.80904354282245,12.476130442852806
7,15.0,7.5,10975.058228673883,5850.416852688548,70249.21527132543,7617.3883587255095,77866.60363005094,5078.258905817007,99.80904354282245,14.971356531423368
8,5.0,2.5,10817.323328065768,7476.674664708789,64108.562630399785,7784.774800503986,71893.33743090378,5189.849867002657,99.80537479889307,4.9902687399446535
8,7.5,3.75,10817.323328065768,7476.674664708789,64108.562630399785,7784.774800503986,71893.33743090378,5189.849867002657,99.80537479889307,7.48540310991698
8,10.0,5.0,10817.323328065768,7476.674664708789,64108.562630399785,7784.774800503986,71893.33743090378,5189.849867002657,99.80537479889307,9.980537479889307
8,12.5,6.25,10817.323328065768,7476.674664708789,64108.562630399785,7784.774800503986,71893.33743090378,5189.849867002657,99.80537479889307,12.475671849861634
8,15.0,7.5,10817.323328065768,7476.674664708789,64108.562630399785,7784.774800503986,71893.33743090378,5189.849867002657,99.80537479889307,14.97080621983396
